PROCEDURE_CODE	Q12016	Q22016	Q32016	Q42016
E1093	2	4	3	4
A4611	11	16	12	7
L5270	0	0	0	0
E2610	2	3	4	0
E2628	2	1	0	0
A7025	0	0	0	1
E0980	2	0	0	1
E0425	1	1	0	0
E0455	0	0	2	0
L7170	2	0	0	0
S1040	1	0	0	0
L6920	0	1	0	0
E2294	2	0	1	3
L8610	0	0	0	0
L8699	0	3	0	0
L6450	0	0	1	0
L6360	0	0	0	0
E1110	0	0	0	0
K0864	0	1	0	0
L3820	0	0	0	0
L3213	0	0	0	0
K0737	0	0	0	0
A4259	0	0	0	0
A6210	0	0	0	0
E0731	0	0	0	0
K0108	0	0	0	0
A6021	0	0	0	0
A6222	0	0	0	0
A6010	0	0	0	0
L8642	0	0	0	0
L3976	0	0	0	0
L8600	0	0	0	0
A4323	0	0	0	0
A4358	50322	49366	48698	47145
95806	0	0	0	0
A6544	1	7	5	5
A6531	4455	4699	5350	5202
A6240	755	848	877	771
A6232	41	64	96	133
A6022	1180	1068	1044	1143
A6530	10981	12883	12320	12001
A6024	65	60	88	54
A4495	233	286	227	156
A5102	1345	1459	1334	1413
A6532	685	749	843	494
A6533	2917	3362	3230	3041
A4500	510	521	549	528
A6237	898	948	985	960
A6207	1836	1983	2056	2018
A6214	754	1031	1200	1125
A6246	3	3	6	31
B4100	1110	1102	1175	1283
E0635	2627	2659	2472	2384
E0604	11	13	27	24
Q4009	0	0	0	0
Q4033	0	0	0	0
Q4051	1	4	0	0
T4522	2	3	0	0
T4525	0	0	0	0
A4409	42328	43054	42997	43346
E0961	18850	19270	18902	19168
E0135	8726	8565	8753	8236
A4389	5675	6110	6134	6223
A4406	38722	38673	38353	38510
E2605	729	764	752	729
A4414	45176	44547	44074	43005
K0003	182940	185581	186154	183081
K0801	326	315	365	420
A4352	33952	35153	36007	36473
E2615	1228	1383	1361	1468
E0443	133976	132525	130098	123939
K0040	5303	5535	5400	6005
K0053	2426	2444	2283	2366
K0462	5874	5928	5309	5047
E0940	6988	6816	6494	6176
B4087	4170	3614	3017	3041
K0822	7709	7707	7266	6786
E0301	1197	1165	1139	1140
E0667	5598	6714	7260	7080
E0140	319	351	319	416
L8612	0	0	0	0
L8616	0	0	0	0
L8239	0	0	1	0
A4554	18415	21410	21168	19190
E0670	3	6	6	1
A6254	343	373	464	404
L0120	4687	4542	4459	4338
L1930	3377	3621	3556	3149
L0172	1690	1673	1671	1783
A6534	646	751	712	742
A6537	55	45	53	36
A6257	3120	3198	3181	2827
L4350	8645	10253	10427	9140
A6243	230	241	268	377
B4161	321	352	327	327
L0626	1624	1637	1533	1318
B9998	989	1018	1272	1223
L6707	11	5	2	4
L4396	9435	9870	10105	9193
E0461	0	0	0	0
E0602	2	4	4	4
Q4014	1	0	0	0
Q4021	0	0	0	0
Q4045	0	0	0	0
Q4046	0	0	0	0
Q4050	1	0	0	0
T4528	8	4	0	0
E0251	266	271	241	279
A7030	314895	330554	335776	356620
A4425	32626	32982	33234	33668
E0470	168387	173233	174519	174889
E0154	3041	2934	2873	2961
E0971	63833	65640	66816	67292
A7035	510179	532587	540689	570673
A4362	22324	23253	23368	24307
E2601	36800	39782	39107	38086
E1226	9641	9997	9757	9307
L1843	4728	4914	4907	5218
E2392	5391	5371	5485	5522
E0442	31830	29659	27633	25658
E0651	5613	6562	7100	6711
E0992	393	397	336	394
E0444	29233	26816	24722	22911
K0015	817	970	1276	1658
E0261	25097	25855	25794	26400
E1016	208	229	158	215
E2613	1057	1163	1129	1325
E0294	3037	3082	3131	3159
E0669	263	406	390	358
E0372	1040	1131	1101	1037
E2364	15	6	10	8
E2204	169	170	151	140
E0293	9	15	60	82
E0675	3000	2466	2547	2700
E2614	46	50	46	66
