NPI	CLIA	NPI_POID_20160725	CLIA_POID_20160725
1306929385	18D0648525	POHE72Q7	POKEHEB5
1659390763	05D0939429	PORCCPF5	POVJV9T4
1023032588	27D0410970	PO2PRVC0	POXPKV78
1649299827	26D0438672	PO4R4505	POURKEG8
1740204379	05D0590260	POBJJ7V5	POHTUAJ8
1831178755	19D0464454	POXPPCM5	POH98FN4
1003950585	05D0542735	POEN7NU5	PO651523
1770575433	21D0219659	PORRA3E7	PO0KE0K7
1669699039	34D2042731	POQ1TU97	PO416N19
1184859894	05D0598424	PODEHMB0	PO2BEV94
1437135886	34D0655059	PODA9685	PO66KTW9
1144567249	36D0966418	PO04M4N3	POQ2APB6
1558428789	34D1102201	POUQ09B3	PO5EAC32
1750762258	26D0443952	PO6VP231	PORDA8U9
1497764526	14D0712849	PO422HF4	PO35E089
1558365890	44D0313808	PO05BU18	PODEJ867
1487657359	19D0457944	PO21N9G7	POM4VAQ3
1649381682	05D0063391	POGW1QF6	POVFHT06
1598759433	01D0641487	POVWBF35	PORPX8W4
1013998426	33D0156376	PO8PNJV8	PORJVRF0
1952381477	10D0682918	POTPJHK7	POH5C8Q1
1841339918	11D1096780	PO9G2RB4	PONCEV95
1720107519	06D0516938	POVVMK27	POAXXXT3
1437571908	14D2065838	POM26F98	POA41TQ2
1649246877	52D0395075	POT4TTK8	POEQ2B06
1225035132	20D0649533	PO0XQN77	POB97W24
1194148551	14D2065840	POPC44U9	POEE2PU5
1689641680	45D0054493	POTC5HN7	POGK2FA0
1801155106	42D2043208	POCMQPU7	POJK8V78
1902882210	15D1019268	POU4T5H9	POF5C3T0
1356626618	25D0317980	PO2DBB43	POBFC140
1609908474	17D0666526	PO8HPVM6	POJ2EWX6
1861709917	45D2012059	PO0XQGN1	POHWRH62
1194914135	11D1083380	PO35TQ81	POBPJ6M8
1851455646	28D0944195	PO53FEK4	POE8GG89
1073680419	15D0357414	POC9AQ05	POPC1115
1457369381	33D0675969	PO3EENE0	PONEW5E2
1194062448	22D0076229	PORDJ4M2	POM5KGR1
1285641514	33D0653806	PO088KP3	POT9M6C8
1952352429	10D1012714	POQ2QAH9	POKVT1W1
1124076401	45D0682745	PO01VN82	PO02RHV7
1760523856	50D0980559	POP1J3N9	POKBTJ13
1851365209	52D0393619	POPCEMN5	POKJ94T6
1174680052	35D0857637	POG6W810	PO7D5HT4
1285616177	05D0643077	PO2BFRV8	POJ2M6G4
1033543764	36D0698030	POFCFWM6	POCHQ366
1750762258	26D2086734	PO6VP231	POT0HCE4
1154337822	05D0612337	POHUAKR7	POQ2BNR4
1982027041	23D2065421	POAFG608	POUD6TT5
1619924719	45D0660532	POC2U210	PO4C3PX7
1285651638	45D0994183	PO7BJDM0	POKU7586
1386758514	06D0664594	POJJ1AQ1	POUPA383
1083635783	10D0022980	PO286015	PO0W6JQ8
1770587511	29D0652745	POB9KGR1	POD4NN17
1134143761	26D1055001	PO148HX1	POFVHKK4
1932383882	33D0152779	POA1A9R3	PO98DUD4
1275843740	50D1014714	POGQKNC1	PO3GCXE8
1427034990	05D0665463	POC04H26	POTKQW53
1164404307	05D0974541	PO4UN6A2	POPVQ0N7
1871665000	10D0992445	POWN0XA6	POJ9UD52
1831112895	45D0494194	PO41CE17	POTCRA98
1154474245	10D0297391	POEK5TV3	PORBP274
1184926941	53D0986799	PO16B980	PO9C5K20
1295723229	19D0694441	POFDAMU2	PO147JD7
1639423957	43D1099610	PO7EN5G4	POKWENW2
1467478438	45D0477942	PODFW934	POPXPGX7
1720328693	11D1096780	PO9G2RB4	PONCEV95
1205048881	05D0909730	POWAQ7T1	PO492282
1639131535	36D0341493	POV6TC47	PO05V152
1558458034	03D0694827	POABUNW8	POVQ7XN7
1235200577	05D1027717	PO68NNT3	PO05XAD1
1700207750	03D0531185	POABKHV0	PO8FJGA2
1689850497	45D0498740	PO0HPN93	PO4WHW96
1306929385	18D0323371	POHE72Q7	POPWUM63
1326086745	50D0661615	POXA9X29	POGQWDA0
