PROCEDURE_CODE	Q12012	Q12013	Q12014	Q12015	Q12016	Q22012	Q22013	Q22014	Q22015	Q22016	Q32012	Q32013	Q32014	Q32015	Q32016	Q42012	Q42013	Q42014	Q42015	Q42016
L6055	0	0	3	2	0	0	0	1	3	0	0	5	1	0	0	0	3	1	0	0
L6100	0	0	47	26	0	0	0	32	27	0	0	36	36	0	0	0	42	26	0	0
L6110	0	0	16	15	0	0	0	27	21	0	0	24	18	0	0	0	17	23	0	0
L6120	0	0	5	0	0	0	0	0	1	0	0	0	3	0	0	0	4	3	0	0
L6200	0	0	0	2	0	0	0	2	2	0	0	2	2	0	0	0	5	4	0	0
L6205	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
L6250	0	0	11	13	0	0	0	17	20	0	0	19	13	0	0	0	18	20	0	0
L6300	0	0	1	1	0	0	0	2	3	0	0	2	1	0	0	0	0	4	0	0
L6310	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
L6320	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
L6350	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
L6370	0	0	2	4	0	0	0	8	2	0	0	3	1	0	0	0	1	3	0	0
L6400	0	0	6	6	0	0	0	9	4	0	0	6	3	0	0	0	5	10	0	0
L6450	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0
L6500	0	0	4	3	0	0	0	9	6	0	0	6	3	0	0	0	6	5	0	0
L6550	0	0	2	1	0	0	0	2	0	0	0	1	1	0	0	0	3	2	0	0
L6570	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	3	0	0
L6580	0	0	4	1	0	0	0	1	3	0	0	2	2	0	0	0	2	2	0	0
L6584	0	0	1	0	0	0	0	1	2	0	0	0	4	0	0	0	0	0	0	0
L6600	0	0	5	2	0	0	0	2	2	0	0	5	1	0	0	0	4	2	0	0
L6605	0	0	9	1	0	0	0	6	8	0	0	4	3	0	0	0	7	5	0	0
L6610	0	0	1	0	0	0	0	5	4	0	0	3	0	0	0	0	4	0	0	0
L6611	0	0	22	17	0	0	0	34	36	0	0	29	19	0	0	0	37	32	0	0
L6615	0	0	50	45	0	0	0	49	42	0	0	54	42	0	0	0	52	41	0	0
L6616	0	0	39	27	0	0	0	40	29	0	0	25	27	0	0	0	35	23	0	0
L6620	0	0	16	14	0	0	0	21	16	0	0	12	17	0	0	0	16	10	0	0
L6621	0	0	22	19	0	0	0	29	29	0	0	18	31	0	0	0	27	25	0	0
L6623	0	0	5	1	0	0	0	3	2	0	0	6	5	0	0	0	7	3	0	0
L6624	0	0	17	4	0	0	0	10	4	0	0	8	12	0	0	0	13	12	0	0
L6625	0	0	1	0	0	0	0	1	1	0	0	3	2	0	0	0	0	4	0	0
L6628	0	0	9	10	0	0	0	9	10	0	0	9	10	0	0	0	8	12	0	0
L6629	0	0	59	55	0	0	0	77	81	0	0	63	61	0	0	0	77	64	0	0
L6630	0	0	30	22	0	0	0	33	18	0	0	25	27	0	0	0	32	25	0	0
L6632	0	0	15	20	0	0	0	19	30	0	0	18	10	0	0	0	12	15	0	0
L6635	0	0	4	8	0	0	0	17	13	0	0	14	7	0	0	0	13	13	0	0
L6637	0	0	1	0	0	0	0	7	3	0	0	3	3	0	0	0	4	3	0	0
L6638	0	0	5	2	0	0	0	8	6	0	0	3	4	0	0	0	4	4	0	0
L6640	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0
L6641	0	0	102	94	0	0	0	89	84	0	0	84	108	0	0	0	78	77	0	0
