VAR1	COUNT	cq
PI00034XQ0:PIJMPNADQ3	41	9
PI00034XQ0:PIJR9DXGC7	12	9
PI00034XQ0:PIJU4UH690	3	4
PI00034XQ0:PIJUBWRW44	2	0
PI00034XQ0:PIJUKA39V5	4	6
PI00034XQ0:PIJVFF2N85	2	0
PI00034XQ0:PIJXGJEK92	10	8
PI00034XQ0:PIK09WC4Q4	24	9
PI00034XQ0:PIK5V51T98	5	6
PI00034XQ0:PIK8BA0MP7	2	0
PI00034XQ0:PIK8VH01U4	6	7
PI00034XQ0:PIKAFWDBP0	2	0
PI00034XQ0:PIKB725HV0	15	9
PI00034XQ0:PIKBXMX4U2	2	0
PI00034XQ0:PIKD0FEEH2	2	0
PI00034XQ0:PIKD2GHW70	2	0
PI00034XQ0:PIKET0HPV5	5	6
PI00034XQ0:PIKFNXMKX7	3	4
PI00034XQ0:PIKGFGA0B7	2	0
PI00034XQ0:PIKJ6Q56D5	4	6
PI00034XQ0:PIKNBBAH55	2	0
PI00034XQ0:PIKXPGJQ45	3	4
PI00034XQ0:PIM558UQF7	14	9
PI00034XQ0:PIMA38NU12	7	8
PI00034XQ0:PIMBVATJ71	8	8
PI00034XQ0:PIMDH8F3Q6	2	0
PI00034XQ0:PIMEN7VAU1	10	8
PI00034XQ0:PIMMKVK3H5	5	6
PI00034XQ0:PIMMNCX571	3	4
PI00034XQ0:PIMMNJKN16	5	6
PI00034XQ0:PIMN730HE1	4	6
PI00034XQ0:PIMR247MQ4	2	0
PI00034XQ0:PIMR28CJP8	2	0
PI00034XQ0:PIMT7N9FQ3	6	7
PI00034XQ0:PIMVAXWAP9	5	6
PI00034XQ0:PIN138A7T3	4	6
PI00034XQ0:PIN3RX6VV0	2	0
PI00034XQ0:PIN4NEHXU4	2	0
PI00034XQ0:PIN96HTPQ6	6	7
PI00034XQ0:PIND8D63D9	11	8
PI00034XQ0:PINFG9QHU2	2	0
PI00034XQ0:PING4769T5	8	8
PI00034XQ0:PINGBD7QT1	2	0
PI00034XQ0:PINMAUPVK5	7	8
PI00034XQ0:PINPWKCP40	2	0
PI00034XQ0:PINQ15RGV6	4	6
PI00034XQ0:PINQ9M8037	2	0
PI00034XQ0:PINWPPQQT6	4	6
PI00034XQ0:PINWRND719	2	0
PI00034XQ0:PIP33RQ4V0	4	6
PI00034XQ0:PIP8MA0NG3	7	8
PI00034XQ0:PIPCGNNBJ0	2	0
PI00034XQ0:PIPH34DH37	5	6
PI00034XQ0:PIPJGNB8B0	29	9
PI00034XQ0:PIPM34MT05	2	0
PI00034XQ0:PIPQ7QHG68	5	6
PI00034XQ0:PIPR84RKK8	5	6
PI00034XQ0:PIPUNK7N63	4	6
PI00034XQ0:PIPV9CG4F2	2	0
PI00034XQ0:PIQ0H02HN1	2	0
PI00034XQ0:PIQ1ABQN08	5	6
PI00034XQ0:PIQJ9R2V16	2	0
PI00034XQ0:PIQM10BUX5	10	8
PI00034XQ0:PIQN7HWXB8	2	0
PI00034XQ0:PIQUAH88A9	6	7
PI00034XQ0:PIR4U70FE6	2	0
PI00034XQ0:PIR6N85X83	56	9
PI00034XQ0:PIR7F3KW26	7	8
PI00034XQ0:PIRAX1GHQ8	2	0
PI00034XQ0:PIRKQU5XE3	28	9
PI00034XQ0:PIRNKQ4FC4	2	0
PI00034XQ0:PIRW94DUG2	3	4
PI00034XQ0:PIT17TG0E9	15	9
PI00034XQ0:PIT43QKKX8	3	4
PI00034XQ0:PIT49MH763	12	9
PI00034XQ0:PIT9A7BMR6	18	9
PI00034XQ0:PITCUU00X5	2	0
PI00034XQ0:PITFCA1UT2	4	6
PI00034XQ0:PITJU15DC6	2	0
PI00034XQ0:PITPM9RAU3	10	8
PI00034XQ0:PITQCUV4Q0	2	0
PI00034XQ0:PITRKEPKP1	4	6
PI00034XQ0:PITW6RKX48	3	4
PI00034XQ0:PIU0VUPKG5	11	8
PI00034XQ0:PIU9BMNHC2	3	4
PI00034XQ0:PIUBEPA8W2	35	9
PI00034XQ0:PIUEUANT04	2	0
PI00034XQ0:PIUHA5RGT9	3	4
PI00034XQ0:PIUPX95547	11	8
PI00034XQ0:PIUQH35VP1	10	8
PI00034XQ0:PIUR1BE592	2	0
PI00034XQ0:PIUT163090	2	0
PI00034XQ0:PIUTUDRQF6	2	0
PI00034XQ0:PIUU7GR039	41	9
PI00034XQ0:PIUV19QHN4	4	6
PI00034XQ0:PIV27WQ2T2	35	9
PI00034XQ0:PIV3B9D8M8	8	8
PI00034XQ0:PIV4HBR0R0	4	6
PI00034XQ0:PIV64FJXR3	2	0
PI00034XQ0:PIVERWTF90	4	6
PI00034XQ0:PIVFMD3FD9	7	8
PI00034XQ0:PIVJR5CXN7	3	4
PI00034XQ0:PIVQ3N1PQ1	2	0
PI00034XQ0:PIVQV0XE70	10	8
PI00034XQ0:PIVXGX6K61	3	4
PI00034XQ0:PIW1APXK48	4	6
PI00034XQ0:PIW2PBC324	2	0
PI00034XQ0:PIW39198P4	8	8
PI00034XQ0:PIW3K53PM0	3	4
PI00034XQ0:PIW3P025M0	2	0
PI00034XQ0:PIW5V25MU7	5	6
PI00034XQ0:PIWEQTVJD8	10	8
PI00034XQ0:PIWF71KQM9	10	8
PI00034XQ0:PIWGPC3298	3	4
PI00034XQ0:PIWJ469BW4	2	0
PI00034XQ0:PIWU3J53W2	2	0
PI00034XQ0:PIX00N42W8	18	9
PI00034XQ0:PIX22GHAQ9	2	0
PI00034XQ0:PIX91V37E6	10	8
PI00034XQ0:PIXB9BG861	14	9
PI00034XQ0:PIXCPD5748	6	7
PI00034XQ0:PIXEHDHB96	2	0
PI00034XQ0:PIXGTPD5W8	11	8
PI00034XQ0:PIXJ1BX1B2	6	7
PI00034XQ0:PIXN07UAR9	11	8
PI00034XQ0:PIXRU30QP6	2	0
PI00034XQ0:PIXVT9TCE3	3	4
PI00034XQ0:PIXXC127Q1	3	4
PI00034XQ0:PIXXPMVWM4	2	0
PI00056UJ9:PIX463ANR1	3	4
PI00065AA3:PI0WMC0J23	2	0
PI00065AA3:PI1J9080J5	2	0
PI00065AA3:PI41RKNFX2	2	0
PI00065AA3:PI4A3MFKU7	2	0
PI00065AA3:PI4U0B94C1	2	0
PI00065AA3:PI4VU7KR63	2	0
PI00065AA3:PI5XH28176	2	0
PI00065AA3:PI8EEEVAK9	2	0
PI00065AA3:PI8EV3H3V1	2	0
PI00065AA3:PI9KWGU9T0	2	0
PI00065AA3:PI9NKG7MR4	2	0
PI00065AA3:PIAH2RN9W5	2	0
PI00065AA3:PIAUNK5AB3	4	6
PI00065AA3:PIBPJ79034	2	0
PI00065AA3:PIF4AMGTP6	2	0
PI00065AA3:PIG8NG4MM1	2	0
PI00065AA3:PIJ82J9VU7	2	0
PI00065AA3:PIJA7KPGD1	3	4
PI00065AA3:PINTGHXF47	4	6
PI00065AA3:PIPD4H99J4	2	0
PI00065AA3:PIPGM3EE42	2	0
PI00065AA3:PIR88M1W41	2	0
PI00065AA3:PIT595FKF9	2	0
PI00065AA3:PIU3K0WF99	2	0
PI00065AA3:PIVV3G8N42	2	0
PI0006JK42:PI30752E47	6	7
PI0006JK42:PI6HWV1D39	2	0
PI0006JK42:PI7NF8H313	2	0
PI0006JK42:PI881WPJ22	3	4
PI0006JK42:PI8HK8DHQ6	7	8
PI0006JK42:PI8V5QV0M0	3	4
PI0006JK42:PI9W12J3B0	2	0
PI0006JK42:PIB690NWX7	3	4
PI0006JK42:PICV8XJRF8	2	0
PI0006JK42:PIEEWMA5G0	4	6
PI0006JK42:PIFWEWEMC3	2	0
PI0006JK42:PIG1R0CXA6	25	9
PI0006JK42:PIG8RQG6G6	2	0
PI0006JK42:PIJEJ9R4G5	2	0
PI0006JK42:PIK8XT03M8	2	0
PI0006JK42:PIKPNAXJX2	19	9
