IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1055000001	1104965003	PO9WBTA5	349	1558400192	POTG3757	349
1055000001	1104965003	PO9WBTA5	349	1841351954	PO0FMVW2	349
1055000001	1558400192	POTG3757	349	1104965003	PO9WBTA5	349
1055000001	1558400192	POTG3757	349	1841351954	PO0FMVW2	349
1055970001	1467471326	POJPBX76	145	1437178308	PO121MU6	145
1055970001	1437178308	PO121MU6	145	1467471326	POJPBX76	145
1057200001	1184649055	PO3ME9V8	173	1831218429	PO3ME9V8	173
1057200001	1831218429	PO3ME9V8	173	1184649055	PO3ME9V8	173
1059120001	1689804700	POP3M7M4	451585	1922176650	POP3M7M4	451585
1059120001	1922176650	POP3M7M4	451585	1689804700	POP3M7M4	451585
1059480001	1104064351	POFVQGA4	722	1083636179	POM1VM13	722
1059480001	1104064351	POFVQGA4	722	1568565471	PO65QXD2	722
1059480001	1104064351	POFVQGA4	722	1144538661	POM1VM13	722
1059480001	1104064351	POFVQGA4	722	1881095339	POXFF1D4	722
1059480001	1104064351	POFVQGA4	722	1881998334	PO72M6W3	722
1059480001	1083636179	POM1VM13	722	1104064351	POFVQGA4	722
1059480001	1083636179	POM1VM13	722	1568565471	PO65QXD2	722
1059480001	1083636179	POM1VM13	722	1144538661	POM1VM13	722
1059480001	1083636179	POM1VM13	722	1881095339	POXFF1D4	722
1059480001	1083636179	POM1VM13	722	1881998334	PO72M6W3	722
1059480001	1568565471	PO65QXD2	722	1104064351	POFVQGA4	722
1059480001	1568565471	PO65QXD2	722	1083636179	POM1VM13	722
1059480001	1568565471	PO65QXD2	722	1144538661	POM1VM13	722
1059480001	1568565471	PO65QXD2	722	1881095339	POXFF1D4	722
1059480001	1568565471	PO65QXD2	722	1881998334	PO72M6W3	722
1059480001	1144538661	POM1VM13	722	1104064351	POFVQGA4	722
1059480001	1144538661	POM1VM13	722	1083636179	POM1VM13	722
1059480001	1144538661	POM1VM13	722	1568565471	PO65QXD2	722
1059480001	1144538661	POM1VM13	722	1881095339	POXFF1D4	722
1059480001	1144538661	POM1VM13	722	1881998334	PO72M6W3	722
1059480001	1881998334	PO72M6W3	722	1104064351	POFVQGA4	722
1059480001	1881998334	PO72M6W3	722	1083636179	POM1VM13	722
1059480001	1881998334	PO72M6W3	722	1568565471	PO65QXD2	722
1059480001	1881998334	PO72M6W3	722	1144538661	POM1VM13	722
1059480001	1881998334	PO72M6W3	722	1881095339	POXFF1D4	722
1059480001	1881095339	POXFF1D4	722	1104064351	POFVQGA4	722
1059480001	1881095339	POXFF1D4	722	1083636179	POM1VM13	722
1059480001	1881095339	POXFF1D4	722	1568565471	PO65QXD2	722
1059480001	1881095339	POXFF1D4	722	1144538661	POM1VM13	722
1059480001	1881095339	POXFF1D4	722	1881998334	PO72M6W3	722
1063190001	1427027218	PO247HH7	-3217	1063713683	PO0J94T6	-3217
1063190001	1427027218	PO247HH7	-3217	1063713683	PO0J94T6	-3217
1063190001	1063713683	PO0J94T6	-3217	1427027218	PO247HH7	-3217
1063190001	1063713683	PO0J94T6	-3217	1427027218	PO247HH7	-3217
1065300001	1558543694	POAW5Q40	70900	1164426144	POTN4HR5	70900
1065300001	1164426144	POTN4HR5	70900	1558543694	POAW5Q40	70900
1067690001	1285960104	POWRCMV1	2847	1316092570	PO16EUR7	2847
1067690001	1316092570	PO16EUR7	2847	1285960104	POWRCMV1	2847
1067690002	1619029139	POX3B2D7	4086	1316092570	PO16EUR7	4086
1067690002	1619029139	POX3B2D7	4086	1316092570	PO16EUR7	4086
1067690002	1316092570	PO16EUR7	4086	1619029139	POX3B2D7	4086
1067690002	1316092570	PO16EUR7	4086	1619029139	POX3B2D7	4086
1067690003	1386647907	PO16EUR7	146453	1316092570	PO16EUR7	146453
1067690003	1386647907	PO16EUR7	146453	1285960104	POWRCMV1	146453
1067690003	1316092570	PO16EUR7	146453	1285960104	POWRCMV1	146453
1067690003	1316092570	PO16EUR7	146453	1386647907	PO16EUR7	146453
1067690003	1285960104	POWRCMV1	146453	1316092570	PO16EUR7	146453
1067690003	1285960104	POWRCMV1	146453	1386647907	PO16EUR7	146453
1068460001	1043212665	PO2V4EC0	4	1164978219	POGX05N1	4
1068460001	1164978219	POGX05N1	4	1043212665	PO2V4EC0	4
1070450001	1376546978	POT3RP95	4	1033112636	PO4G3N08	4
1070450001	1376546978	POT3RP95	4	1063572881	PO4G3N08	4
1070450001	1033112636	PO4G3N08	4	1063572881	PO4G3N08	4
1070450001	1033112636	PO4G3N08	4	1376546978	POT3RP95	4
1070450001	1063572881	PO4G3N08	4	1033112636	PO4G3N08	4
1070450001	1063572881	PO4G3N08	4	1376546978	POT3RP95	4
1070840001	1821015256	POCXKD96	13	1255357117	POCXKD96	13
1070840001	1255357117	POCXKD96	13	1821015256	POCXKD96	13
1074050001	1154300051	PO9FAW88	1042	1972043347	POXCBPT3	1042
1074050001	1154300051	PO9FAW88	1042	1023558673	POCEBR12	1042
1074050001	1154300051	PO9FAW88	1042	1083154454	PO1U7089	1042
1074050001	1154300051	PO9FAW88	1042	1669912218	POANVD56	1042
1074930001	1972668176	POXG38N7	58	1346305778	PO7AQNA0	58
1074930001	1346305778	PO7AQNA0	58	1972668176	POXG38N7	58
1076090001	1316036965	PO4RG378	4824	1477698843	PO6N9W17	4824
1076090001	1316036965	PO4RG378	4824	1477698843	PO6N9W17	4824
1076090001	1477698843	PO6N9W17	4824	1316036965	PO4RG378	4824
1076090001	1477698843	PO6N9W17	4824	1316036965	PO4RG378	4824
1076980001	1154442739	PODP3E14	803	1205839867	POFEP4E5	803
1076980001	1205839867	POFEP4E5	803	1154442739	PODP3E14	803
1078450001	1053647255	POBKWR53	701	1700989324	POBKWR53	701
1078450001	1700989324	POBKWR53	701	1053647255	POBKWR53	701
1079770001	1730135823	PO2DMF29	224	NA	NA	NA
1082070002	1225170293	POQBV710	-162	NA	NA	NA
1085580003	1114167111	PO9TCQ94	-13873	1902174196	POJ0F9R7	-13873
1085580003	1902174196	POJ0F9R7	-13873	1114167111	PO9TCQ94	-13873
1085870001	1801219134	PO187031	-2623	1609298199	PONV09F1	-2623
1085870001	1801219134	PO187031	-2623	1891060372	PO0TJ2K4	-2623
1085870001	1801219134	PO187031	-2623	1508862319	PORGFC29	-2623
1085870001	1609298199	PONV09F1	-2623	1801219134	PO187031	-2623
1085870001	1609298199	PONV09F1	-2623	1891060372	PO0TJ2K4	-2623
1085870001	1609298199	PONV09F1	-2623	1508862319	PORGFC29	-2623
1085870001	1508862319	PORGFC29	-2623	1609298199	PONV09F1	-2623
1085870001	1508862319	PORGFC29	-2623	1801219134	PO187031	-2623
1085870001	1508862319	PORGFC29	-2623	1891060372	PO0TJ2K4	-2623
1085870001	1891060372	PO0TJ2K4	-2623	1609298199	PONV09F1	-2623
1085870001	1891060372	PO0TJ2K4	-2623	1801219134	PO187031	-2623
1085870001	1891060372	PO0TJ2K4	-2623	1508862319	PORGFC29	-2623
1085870002	1891060372	PO0TJ2K4	424	1407955347	POJEN5E0	424
1085870002	1407955347	POJEN5E0	424	1891060372	PO0TJ2K4	424
1085870003	1891060372	PO0TJ2K4	20512	1407952740	POTPU738	20512
1085870003	1407952740	POTPU738	20512	1891060372	PO0TJ2K4	20512
1086010005	1134272644	POGTBJN0	3634	1891103412	PO4NCFE5	3634
1086010005	1891103412	PO4NCFE5	3634	1134272644	POGTBJN0	3634
1086190001	1114243797	PODJG1B7	29224	1245232552	PO839MG0	29224
1086190001	1245232552	PO839MG0	29224	1114243797	PODJG1B7	29224
1089360004	1902848294	PO2J1NG2	311	1598904294	POG6UT05	311
1089360004	1598904294	POG6UT05	311	1902848294	PO2J1NG2	311
1089360006	1851530851	POKRN8G7	352	1902848294	PO2J1NG2	352
1089360006	1902848294	PO2J1NG2	352	1851530851	POKRN8G7	352
1089440001	1134170681	PO5W23B4	-20	1548211089	PO332XV1	-20
1089440001	1134170681	PO5W23B4	-20	1235149923	PO62T5T2	-20
1089440001	1134170681	PO5W23B4	-20	1013926328	PO4QT5M4	-20
1089440001	1134170681	PO5W23B4	-20	1053361360	PO7W8CW6	-20
1089440001	1013926328	PO4QT5M4	-20	1548211089	PO332XV1	-20
1089440001	1013926328	PO4QT5M4	-20	1235149923	PO62T5T2	-20
1089440001	1013926328	PO4QT5M4	-20	1053361360	PO7W8CW6	-20
1089440001	1013926328	PO4QT5M4	-20	1134170681	PO5W23B4	-20
1089440001	1548211089	PO332XV1	-20	1235149923	PO62T5T2	-20
1089440001	1548211089	PO332XV1	-20	1013926328	PO4QT5M4	-20
1089440001	1548211089	PO332XV1	-20	1053361360	PO7W8CW6	-20
1089440001	1548211089	PO332XV1	-20	1134170681	PO5W23B4	-20
1089440001	1235149923	PO62T5T2	-20	1548211089	PO332XV1	-20
1089440001	1235149923	PO62T5T2	-20	1013926328	PO4QT5M4	-20
1089440001	1235149923	PO62T5T2	-20	1053361360	PO7W8CW6	-20
1089440001	1235149923	PO62T5T2	-20	1134170681	PO5W23B4	-20
1089440001	1053361360	PO7W8CW6	-20	1548211089	PO332XV1	-20
1089440001	1053361360	PO7W8CW6	-20	1235149923	PO62T5T2	-20
1089440001	1053361360	PO7W8CW6	-20	1013926328	PO4QT5M4	-20
1089440001	1053361360	PO7W8CW6	-20	1134170681	PO5W23B4	-20
1092840001	1487752853	POCDEGG2	-59	1760480743	POCDEGG2	-59
1092840001	1760480743	POCDEGG2	-59	1487752853	POCDEGG2	-59
1092890001	1497841704	POFG6878	-206382	1194897074	PO3VUP17	-206382
1092890001	1194897074	PO3VUP17	-206382	1497841704	POFG6878	-206382
1099170001	1760486740	PO0NXFN5	52	NA	NA	NA
1101360001	1699867853	PO623548	710	1750482055	PO1KN0H6	710
1101360001	1750482055	PO1KN0H6	710	1699867853	PO623548	710
1103400001	1508846718	PO33D4F1	56	1992898167	POHCCUE8	56
1103400001	1992898167	POHCCUE8	56	1508846718	PO33D4F1	56
1103400002	1093739419	PO57GTP8	48	1508846718	PO33D4F1	48
1103400002	1508846718	PO33D4F1	48	1093739419	PO57GTP8	48
1103400005	1750488037	POHXB5Q3	-1	1508846718	PO33D4F1	-1
1103400005	1508846718	PO33D4F1	-1	1750488037	POHXB5Q3	-1
1103400006	1265525406	POEJ7R37	-4	1508846718	PO33D4F1	-4
