HMS_POID	vec.discr.x	vec.discr.y
POMKU2R6	3	4
POMN68A2	3	3
POMPTAA6	3	3
POMTC4J3	2	2
PON4BWP5	3	3
PON4M924	3	3
PON4XGE2	1	1
PON5AXT5	1	1
PON6A3U7	1	1
PON6QVX4	3	3
PON9HDD3	3	3
PONB8DB9	1	1
PONE0Q29	4	3
PONEVG51	1	NA
PONGW5A5	3	3
PONHC470	3	3
PONHGT12	3	3
PONJ2D92	1	NA
PONKF7A1	3	3
PONMR413	2	3
PONNUT88	4	4
PONPWM89	3	3
PONQW3D2	3	2
PONT1DT6	3	3
PONU2174	3	3
PONW6W22	2	NA
PONWTCM1	1	1
PONWXC77	3	3
PONXA471	1	NA
POP1WWB3	1	NA
POP20RB2	3	1
POP2B008	3	3
POP36085	1	1
POP3U345	3	2
POP431E2	1	NA
POP59R81	3	3
POP5W389	1	1
POP617D2	3	3
POP66165	1	1
POP7XFE7	3	3
POPA2240	3	2
POPD91U4	1	NA
POPDR1Q3	2	1
POPGP8B7	2	1
POPPTFG6	3	3
POPQ6B16	2	1
POPQ86K2	1	NA
POPQKP94	3	4
POPU9C85	3	3
POPWREJ0	3	3
POQ00FM6	3	3
POQ0F3B8	1	NA
POQ10732	1	1
POQ38MJ9	4	4
POQ3KXK8	3	2
POQ3V349	3	2
POQ66FA1	1	1
POQ6GKB0	2	3
POQ79828	3	3
POQ7R6R7	3	3
POQ8RMJ8	3	1
POQA0BQ2	3	2
POQA3NE2	3	3
POQAK6J0	1	1
POQC3XC0	3	3
POQDKGQ4	3	3
POQEF6D5	3	3
POQG4N73	3	3
POQG5202	1	NA
POQK6292	2	NA
POQMQ6V0	3	3
POQPG6H1	3	3
POQPV1H5	2	3
POQQFTB8	3	3
POQQP918	2	2
POQQT7K6	3	1
POQR1EC4	3	3
POQT1CF9	3	1
POQUK4J7	1	1
POQVHNP2	1	1
POQW7TB1	4	1
POR3QUP7	1	NA
POR7V363	2	3
PORA34U6	3	3
PORAG375	1	NA
PORD7K33	1	1
POREE676	3	3
PORFFHG5	1	3
PORFUJ25	1	NA
PORJM3E6	3	3
PORPHGD0	1	1
PORV5MM9	3	3
PORV6JC0	4	3
PORVAWM1	3	3
PORWJEP0	3	3
PORWWUM2	1	1
POT2CUQ8	3	3
POT397B5	4	1
POT3DBG2	3	2
POT4CNF5	3	2
POT53H79	4	3
POT588F5	3	4
POT69MN7	4	3
POT6NWW1	2	2
POT75RF1	2	NA
POT92876	4	4
POT94PG1	2	2
POT94U14	3	3
POTB40N1	1	NA
POTBANG9	3	3
POTBMUP3	1	1
POTC0DB1	1	NA
POTEHQK7	2	2
POTENWA6	1	2
POTFCE26	3	3
POTJHRE3	2	2
POTK1AK6	3	3
POTM0CE8	2	3
POTNVK91	2	2
POTPCHX5	3	3
POTPXFK1	3	3
POTQ2849	3	3
POTQ9QC0	3	3
POTV7Q81	1	2
POTVVGV9	2	3
POU0DJU0	3	3
POU0DP26	1	NA
POU1DEC7	2	NA
POU37G61	3	3
POU5A7K3	3	3
POU5A968	2	3
POU83AE0	1	1
POUARR42	3	3
POUEH7K4	3	3
POUF5186	3	3
POUFCW55	3	3
POUGDE61	3	3
POUHACW6	2	3
POUNART0	3	3
POUNPNU2	1	NA
POUP0U69	1	1
POURH6E1	3	3
POUVWC05	2	1
POUW9HU6	3	3
POUXHUF7	3	3
POV000F2	2	2
POV0WBH6	1	1
POV2N6N3	3	3
POV2V160	3	3
POV5UT70	3	4
POV7UHC9	3	2
POV8QV90	1	NA
POVB1EF9	1	1
POVBFHH6	3	3
POVBHR53	1	2
POVCTAX6	3	3
POVFUWQ4	3	3
POVHR6P9	3	2
POVJ58P3	3	3
POVMNCM9	3	2
POVREUN0	1	1
POVRGVW1	3	3
POW1QTH6	3	3
POW35A67	1	1
POW6XFR0	2	3
POW701N1	4	4
POW7WM48	3	3
POW937K6	3	3
POW939A6	1	3
POWA40N7	2	3
POWAGQ90	1	1
POWBXXT8	4	4
POWE5075	1	2
POWE9NE8	2	3
POWH3D18	3	3
POWH8KE9	2	2
