PROCEDURE_CODE	UNIT_mean	UNIT_median	PROCEDURES
L1902	1.1667014832	1	103926
L1906	1.045323741	1	27479
L1930	1.0636856369	1	14974
L1960	1.1326803206	1	22043
L1970	1.1043189369	1	31559
L1971	1.1372239748	1	27010
L3260	1.0218732473	1	77163
L3480	1.1666666667	1	1475
L3510	1.5833333333	2	279
L3650	1.000748503	1	31508
L3660	1	1	13983
L3670	1.0014041	1	78540
L3710	1.3387096774	1	1329
L3807	1.0595885552	1	88493
L3908	1.0787116041	1	289419
L3923	1.0260223048	1	33102
L4350	1.0101549973	1	39295
L4360	1.0015270506	1	183358
L4386	1.0029605263	1	61078
L4396	1.0635901163	1	59418
L5301	1.0518256773	1	18826
L5321	1.0250783699	1	6303
L6000	1.6111111111	1	14
L6010	4.1666666667	1.5	10
L6020	1	1	6
L6025	1	1	19
L6703	1	1	96
L6704	1.5	1.5	65
L6706	1.125	1	191
L6707	2.8666666667	1	19
L6708	1	1	67
L6709	1	1	13
L6715	17.2	4	13
L6721	1.25	1	122
L6722	1	1	16
L6880	1	1	127
L7007	1	1	148
L8010	1.518134715	1	3306
L8300	1	1	1488
L8310	1	1	1123
Q4005			2
Q4006	1	1	2
Q4009	1	1	1
Q4010	1	1	26
Q4013			1
Q4014	1	1	3
Q4018	1	1	3
Q4022	1	1	4
Q4034	4	4	1
Q4038	2.0463917526	1	27
Q4045	1	1	5
Q4046	1.4615384615	1	2
Q4050	1	1	15
Q4051	2.1176470588	1	23
T4521	193.76782806	192	3
T4522	200	200	10
T4523	179.2299706	144	29
T4524	164.91191772	144	13
T4525	149.53407329	120	3
T4526	80	80	30
T4527	132.29324541	125	31
T4528	128.98084397	112	17
T4534	168.15990359	150	1
T4535	149.91270071	120	28
T4536	3.8236278447	2	9
T4537	3	3	7
T4541	120.892701	100	58
T4543	163.2090913	140	2
