HMS_POID	vec.discr.x	vec.discr.y
PO91AX25	1	1
PO942CK7	3	3
PO94VJW9	3	3
PO98XV16	3	3
PO9BM742	3	3
PO9EUHG8	2	2
PO9EWVT6	1	1
PO9H16Q2	3	3
PO9H6FE0	1	NA
PO9J1958	1	NA
PO9KP7T2	3	3
PO9M4KE9	3	1
PO9NC8C2	1	1
PO9NKRG6	3	3
PO9PGAU6	2	2
PO9QRK98	1	1
PO9R54E7	2	2
PO9U8W88	3	1
PO9UG4H3	3	3
PO9VJ324	3	3
PO9XB7W9	1	NA
POA16XH0	1	NA
POA38EN8	3	3
POA5E4P6	1	1
POA5K298	3	3
POA71K39	3	1
POA731U1	3	3
POA74A70	1	NA
POA83GC2	3	3
POA8N9U9	3	3
POAA2DD0	3	3
POADUQM5	4	4
POAEGTC8	2	2
POAF5WK3	1	1
POAFXF15	3	3
POAMGKV8	3	3
POAP70T7	1	1
POAR9KQ3	1	1
POARBR79	4	4
POATTA91	3	3
POAWJ279	3	3
POB072K7	1	1
POB0RJX7	3	3
POB1N9V2	3	2
POB3C137	2	3
POB3RNB1	4	4
POB56M39	1	NA
POB5DBH9	3	2
POB65BX2	2	2
POB8P5C0	3	3
POBBXQW2	1	1
POBC7B98	1	1
POBCH316	3	3
POBEM1P0	3	3
POBH16K9	1	2
POBKH538	3	3
POBKKQ50	4	4
POBRX908	3	3
POBTJ0X7	2	2
POBWWR93	2	2
POBXKAP1	3	3
POBXXKQ2	3	3
POC114B0	4	4
POC37KM5	3	3
POC56684	3	2
POC6P2R0	3	3
POC7MRP6	3	3
POC7R484	1	NA
POC9DAR8	1	NA
POCB0X30	3	3
POCCJA49	3	3
POCCMNT6	2	3
POCFRBP6	3	2
POCH51V3	1	NA
POCHV4D0	2	2
POCM5649	3	3
POCMEW98	1	1
POCPC972	1	1
POCPU3V8	3	3
POCPVA30	3	3
POCRPV74	1	1
POCV46F8	3	2
POCVVE25	1	NA
POCW9QV8	1	1
POCX0U50	1	1
POD041R9	2	2
POD52G27	1	1
POD66283	1	1
POD72MD8	1	1
POD9A9G3	1	1
PODFKRH2	3	3
PODG7MB6	3	3
PODGJVF1	1	NA
PODHGQ33	3	3
PODHU0K5	1	1
PODJDWG3	3	1
PODKQTB7	3	3
PODMBWC3	3	2
PODP3U87	3	3
PODQUPR4	3	3
PODRD483	3	3
PODREQD6	3	3
PODTQUK6	3	2
PODUJB36	3	3
PODW0EJ6	3	3
PODW98H7	1	1
PODWMA03	1	NA
PODX4V10	1	NA
PODXB4R1	3	3
POE2WA07	2	2
POE4U228	2	5
POE8R7B1	1	NA
POE99J06	1	1
POEAVV87	1	1
POEBER93	2	2
POEBMVB7	3	3
POEC1D93	2	2
POEDJ2G2	3	1
POEDJUR4	3	3
POEDV1N9	2	2
POEE8714	1	1
POEH3TQ8	3	5
POEHA5E2	3	1
POEHP5A3	2	2
POEJTQ76	2	3
POEKECW0	2	2
POEMF6H8	1	NA
POENBW16	1	1
POENJGQ5	4	4
POENUTG7	2	2
POERDUG9	1	NA
POEUUXD3	2	2
POEV9PU1	3	3
POEVK993	1	NA
POEVRT40	1	1
POF0UCT8	1	1
POF18A37	1	1
POF3AUQ9	3	3
POF76T21	3	3
POF77383	1	1
POF7XC17	3	3
POF834U8	3	3
POF9K550	3	2
POFAHT55	1	1
POFAW7T0	1	1
POFB5BU7	3	3
POFCQA23	3	3
POFE4F93	1	NA
POFF11A6	1	NA
POFG6E95	3	3
POFGA0G4	3	1
POFHU2A9	3	NA
POFJ5KT1	2	2
POFNG6G6	1	NA
POFNXJ36	2	2
POFPDJ17	3	3
POFQNCT5	1	1
POFRPUR3	3	3
POFUW457	3	3
POFX6G63	4	3
POG312C6	1	NA
POG8GJ07	2	2
POGB4HD0	3	3
POGBT0E1	1	2
POGF6J71	3	3
POGJW2J5	3	3
POGMKTC2	1	1
POGNBE71	2	NA
POGR8R19	3	1
POGW06K2	2	1
POH00W39	1	1
POH0J860	3	3
POH0P2W7	2	2
POH2WXH1	3	3
POH510N1	1	1
POH5Q741	3	3
POH5V3A8	3	3
POH7FG44	3	3
POH8B0C4	3	3
POHB9P51	3	3
POHBEVX1	3	3
POHC1A37	4	3
POHC8366	3	3
POHDJ5G9	3	3
POHDKKM0	2	NA
POHGXA35	4	4
POHH3BU1	2	3
POHPC8W6	3	3
POHR5VP0	1	1
POHUN157	1	1
POHUQ5N8	2	1
POHWE604	2	2
POHWKK47	3	3
POHWQFR8	3	3
POHXRED1	3	NA
POJ339N9	5	NA
POJ6VFJ3	3	3
POJ7JRV4	3	3
POJ9UTE3	3	2
POJ9WUA6	5	1
POJA7Q95	4	4
POJCCQA0	1	1
POJGPDT6	3	4
POJJ3W39	3	3
POJKJD62	3	3
POJM3J06	2	1
POJM5277	3	3
POJP4K06	1	1
POJPXAK9	3	3
POJTRCM3	2	1
POJU1W45	3	3
POJUQP17	3	2
POJVURX4	2	2
POJWR5C9	2	1
POK09PW7	3	3
