IDENTIFIER	NPI.x	HMS_POID.x	COUNT.x	NPI.y	HMS_POID.y	COUNT.y
1074050001	1669912218	POANVD56	722	1154300051	PO9FAW88	722
1074050001	1669912218	POANVD56	722	1972043347	POXCBPT3	722
1074050001	1972043347	POXCBPT3	722	1669912218	POANVD56	722
1074050001	1972043347	POXCBPT3	722	1083154454	PO1U7089	722
1074050001	1972043347	POXCBPT3	722	1023558673	POCEBR12	722
1074050001	1972043347	POXCBPT3	722	1154300051	PO9FAW88	722
1074050001	1083154454	PO1U7089	722	1669912218	POANVD56	722
1074050001	1083154454	PO1U7089	722	1023558673	POCEBR12	722
1074050001	1083154454	PO1U7089	722	1154300051	PO9FAW88	722
1074050001	1083154454	PO1U7089	722	1972043347	POXCBPT3	722
1074050001	1154300051	PO9FAW88	722	1669912218	POANVD56	722
1074050001	1154300051	PO9FAW88	722	1083154454	PO1U7089	722
1074050001	1154300051	PO9FAW88	722	1023558673	POCEBR12	722
1074050001	1154300051	PO9FAW88	722	1972043347	POXCBPT3	722
1074930001	1972668176	POXG38N7	4431	1346305778	PO9RT4Q7	4431
1074930001	1346305778	PO9RT4Q7	4431	1972668176	POXG38N7	4431
1076090001	1477698843	PO6N9W17	5834	1316036965	PO4RG378	5834
1076090001	1477698843	PO6N9W17	5834	1316036965	PO4RG378	5834
1076090001	1316036965	PO4RG378	5834	1477698843	PO6N9W17	5834
1076090001	1316036965	PO4RG378	5834	1477698843	PO6N9W17	5834
1076980001	1154442739	PODP3E14	1021	1205839867	POFEP4E5	1021
1076980001	1205839867	POFEP4E5	1021	1154442739	PODP3E14	1021
1078450001	1700989324	POBKWR53	452	1053647255	POBKWR53	452
1078450001	1053647255	POBKWR53	452	1700989324	POBKWR53	452
1079770001	1730135823	PO2DMF29	143	NA	NA	NA
1085580003	1902174196	POTKJ1U6	-31128	1114167111	PO9TCQ94	-31128
1085580003	1114167111	PO9TCQ94	-31128	1902174196	POTKJ1U6	-31128
1085870001	1801219134	PO187031	334	1609298199	PONV09F1	334
1085870001	1801219134	PO187031	334	1508862319	PORGFC29	334
1085870001	1801219134	PO187031	334	1891060372	PO0TJ2K4	334
1085870001	1609298199	PONV09F1	334	1508862319	PORGFC29	334
1085870001	1609298199	PONV09F1	334	1891060372	PO0TJ2K4	334
1085870001	1609298199	PONV09F1	334	1801219134	PO187031	334
1085870001	1508862319	PORGFC29	334	1609298199	PONV09F1	334
1085870001	1508862319	PORGFC29	334	1891060372	PO0TJ2K4	334
1085870001	1508862319	PORGFC29	334	1801219134	PO187031	334
1085870001	1891060372	PO0TJ2K4	334	1609298199	PONV09F1	334
1085870001	1891060372	PO0TJ2K4	334	1508862319	PORGFC29	334
1085870001	1891060372	PO0TJ2K4	334	1801219134	PO187031	334
1085870002	1407955347	POJEN5E0	520	1891060372	PO0TJ2K4	520
1085870002	1891060372	PO0TJ2K4	520	1407955347	POJEN5E0	520
1085870003	1407952740	POTPU738	15038	1891060372	PO0TJ2K4	15038
1085870003	1891060372	PO0TJ2K4	15038	1407952740	POTPU738	15038
1086010005	1891103412	PO4NCFE5	3633	1134272644	POGTBJN0	3633
1086010005	1134272644	POGTBJN0	3633	1891103412	PO4NCFE5	3633
1086190001	1114243797	PODJG1B7	19184	1245232552	PO839MG0	19184
1086190001	1245232552	PO839MG0	19184	1114243797	PODJG1B7	19184
1089360004	1902848294	PO2J1NG2	455	1598904294	POG6UT05	455
1089360004	1598904294	POG6UT05	455	1902848294	PO2J1NG2	455
1089360006	1902848294	PO2J1NG2	448	1851530851	POKRN8G7	448
1089360006	1851530851	POKRN8G7	448	1902848294	PO2J1NG2	448
1089440001	1053361360	PO7W8CW6	-92	1548211089	PO332XV1	-92
1089440001	1053361360	PO7W8CW6	-92	1134170681	PO5W23B4	-92
1089440001	1053361360	PO7W8CW6	-92	1013926328	PO4QT5M4	-92
1089440001	1053361360	PO7W8CW6	-92	1235149923	PO62T5T2	-92
1089440001	1235149923	PO62T5T2	-92	1548211089	PO332XV1	-92
1089440001	1235149923	PO62T5T2	-92	1053361360	PO7W8CW6	-92
1089440001	1235149923	PO62T5T2	-92	1134170681	PO5W23B4	-92
1089440001	1235149923	PO62T5T2	-92	1013926328	PO4QT5M4	-92
1089440001	1134170681	PO5W23B4	-92	1548211089	PO332XV1	-92
1089440001	1134170681	PO5W23B4	-92	1053361360	PO7W8CW6	-92
1089440001	1134170681	PO5W23B4	-92	1013926328	PO4QT5M4	-92
1089440001	1134170681	PO5W23B4	-92	1235149923	PO62T5T2	-92
1089440001	1013926328	PO4QT5M4	-92	1548211089	PO332XV1	-92
1089440001	1013926328	PO4QT5M4	-92	1053361360	PO7W8CW6	-92
1089440001	1013926328	PO4QT5M4	-92	1134170681	PO5W23B4	-92
1089440001	1013926328	PO4QT5M4	-92	1235149923	PO62T5T2	-92
1089440001	1548211089	PO332XV1	-92	1053361360	PO7W8CW6	-92
1089440001	1548211089	PO332XV1	-92	1134170681	PO5W23B4	-92
1089440001	1548211089	PO332XV1	-92	1013926328	PO4QT5M4	-92
1089440001	1548211089	PO332XV1	-92	1235149923	PO62T5T2	-92
1092840001	1760480743	POCDEGG2	-28	1487752853	POCDEGG2	-28
1092840001	1487752853	POCDEGG2	-28	1760480743	POCDEGG2	-28
1092890001	1497841704	POFG6878	-21319	1194897074	PO3VUP17	-21319
1092890001	1194897074	PO3VUP17	-21319	1497841704	POFG6878	-21319
1101360001	1750482055	PO1KN0H6	707	1699867853	POBWQ8U9	707
1101360001	1699867853	POBWQ8U9	707	1750482055	PO1KN0H6	707
1103400001	1992898167	POHCCUE8	152	1508846718	PO33D4F1	152
1103400001	1508846718	PO33D4F1	152	1992898167	POHCCUE8	152
1103400002	1508846718	PO33D4F1	102	1093739419	PO57GTP8	102
1103400002	1093739419	PO57GTP8	102	1508846718	PO33D4F1	102
1103400005	1508846718	PO33D4F1	-4	1750488037	POHXB5Q3	-4
1103400005	1750488037	POHXB5Q3	-4	1508846718	PO33D4F1	-4
1103400006	1508846718	PO33D4F1	106	1265525406	POEJ7R37	106
1103400006	1265525406	POEJ7R37	106	1508846718	PO33D4F1	106
1103400007	1508846718	PO33D4F1	-13	1285727438	POF7D4H8	-13
1103400007	1285727438	POF7D4H8	-13	1508846718	PO33D4F1	-13
1103400008	1508846718	PO33D4F1	34	1891887311	PODT1B70	34
1103400008	1891887311	PODT1B70	34	1508846718	PO33D4F1	34
1103400009	1912006909	PO86A1H5	21	1508846718	PO33D4F1	21
1103400009	1508846718	PO33D4F1	21	1912006909	PO86A1H5	21
1103400010	1508846718	PO33D4F1	6	1114010378	POBB2G21	6
1103400010	1114010378	POBB2G21	6	1508846718	PO33D4F1	6
1103400012	1508846718	PO33D4F1	19	1902907181	POQNXMK5	19
1103400012	1902907181	POQNXMK5	19	1508846718	PO33D4F1	19
1103400013	1508846718	PO33D4F1	-3	1649294067	POJCGUT7	-3
1103400013	1649294067	POJCGUT7	-3	1508846718	PO33D4F1	-3
1103400014	1750473245	PONJXXP0	169	1508846718	PO33D4F1	169
1103400014	1508846718	PO33D4F1	169	1750473245	PONJXXP0	169
1103400016	1508846718	PO33D4F1	77	1427159615	POJ4RQU7	77
1103400016	1427159615	POJ4RQU7	77	1508846718	PO33D4F1	77
1103400020	1861539587	PO8PWR29	3	1508846718	PO33D4F1	3
1103400020	1508846718	PO33D4F1	3	1861539587	PO8PWR29	3
1103400024	1043264476	POJMVWH5	4	1508846718	PO33D4F1	4
1103400024	1508846718	PO33D4F1	4	1043264476	POJMVWH5	4
1103400032	1326475773	POUPDA22	-4	1063720274	PO4B5MX7	-4
1103400032	1063720274	PO4B5MX7	-4	1326475773	POUPDA22	-4
1103400033	1700117348	POPGP0B5	7	1952604092	POJAEKN8	7
1103400033	1952604092	POJAEKN8	7	1700117348	POPGP0B5	7
1108540001	1790815173	PO0PAMU2	131	1811024144	PO0PAMU2	131
1108540001	1811024144	PO0PAMU2	131	1790815173	PO0PAMU2	131
1109680001	1043276819	POEUGDM9	9615	1699143057	POQ497P2	9615
1109680001	1699143057	POQ497P2	9615	1043276819	POEUGDM9	9615
1109680002	1942251426	POPA9NV3	10053	1093956120	POPA9NV3	10053
1109680002	1093956120	POPA9NV3	10053	1942251426	POPA9NV3	10053
1109680003	1801085071	PO8HNKA1	9812	1053552067	PO8HNKA1	9812
1109680003	1053552067	PO8HNKA1	9812	1801085071	PO8HNKA1	9812
1109680004	1891934378	POH86H17	22997	1679714554	POH86H17	22997
1109680004	1679714554	POH86H17	22997	1891934378	POH86H17	22997
1109680005	1457680472	PO1C6TJ3	4710	1316276272	PO1C6TJ3	4710
1109680005	1316276272	PO1C6TJ3	4710	1457680472	PO1C6TJ3	4710
1109680006	1164790770	PO96WRQ1	3829	1437427044	PO96WRQ1	3829
1109680006	1437427044	PO96WRQ1	3829	1164790770	PO96WRQ1	3829
1109680007	1578830832	POMC11G7	2493	1528336138	POMC11G7	2493
1109680007	1528336138	POMC11G7	2493	1578830832	POMC11G7	2493
1109680008	1245576065	POJ2BD50	23285	1437495355	POJ2BD50	23285
1109680008	1437495355	POJ2BD50	23285	1245576065	POJ2BD50	23285
1109810002	1053319285	POEHXNV7	1796	1740522945	PO7X1HF6	1796
1109810002	1740522945	PO7X1HF6	1796	1053319285	POEHXNV7	1796
1114640001	1023357639	POWD16N6	229	1356302723	PO32KKP0	229
1114640001	1023357639	POWD16N6	229	1659333029	PO32KKP0	229
1114640001	1356302723	PO32KKP0	229	1023357639	POWD16N6	229
1114640001	1356302723	PO32KKP0	229	1659333029	PO32KKP0	229
1114640001	1659333029	PO32KKP0	229	1023357639	POWD16N6	229
1114640001	1659333029	PO32KKP0	229	1356302723	PO32KKP0	229
1114950022	1396938080	PO5JTRF5	67	1619200664	POURKGP2	67
1114950023	1841483534	PORBGWN2	25	1073746459	PO5Q8T01	25
1116340001	1811092208	POFP2GQ2	3011	1649227273	POFP2GQ2	3011
1116340001	1649227273	POFP2GQ2	3011	1811092208	POFP2GQ2	3011
1119910001	1588092191	POVR2J06	5578	1356321418	POKED764	5578
1119910001	1356321418	POKED764	5578	1588092191	POVR2J06	5578
1119970001	1700955408	POCFMW37	236	1891843678	PO5U0B24	236
1119970001	1891843678	PO5U0B24	236	1700955408	POCFMW37	236
1120470001	1043319114	PO3NABJ9	438	1912091091	POEV36V6	438
1120470001	1043319114	PO3NABJ9	438	1407958846	PONPUTC5	438
1120470001	1043319114	PO3NABJ9	438	1770682924	POJ7EMN4	438
1120470001	1043319114	PO3NABJ9	438	1447359559	PONPUTC5	438
1120470001	1770682924	POJ7EMN4	438	1912091091	POEV36V6	438
1120470001	1770682924	POJ7EMN4	438	1407958846	PONPUTC5	438
1120470001	1770682924	POJ7EMN4	438	1043319114	PO3NABJ9	438
1120470001	1770682924	POJ7EMN4	438	1447359559	PONPUTC5	438
1120470001	1407958846	PONPUTC5	438	1912091091	POEV36V6	438
1120470001	1407958846	PONPUTC5	438	1770682924	POJ7EMN4	438
1120470001	1407958846	PONPUTC5	438	1043319114	PO3NABJ9	438
1120470001	1407958846	PONPUTC5	438	1447359559	PONPUTC5	438
1120470001	1447359559	PONPUTC5	438	1912091091	POEV36V6	438
1120470001	1447359559	PONPUTC5	438	1407958846	PONPUTC5	438
1120470001	1447359559	PONPUTC5	438	1770682924	POJ7EMN4	438
1120470001	1447359559	PONPUTC5	438	1043319114	PO3NABJ9	438
1120470001	1912091091	POEV36V6	438	1407958846	PONPUTC5	438
1120470001	1912091091	POEV36V6	438	1770682924	POJ7EMN4	438
1120470001	1912091091	POEV36V6	438	1043319114	PO3NABJ9	438
1120470001	1912091091	POEV36V6	438	1447359559	PONPUTC5	438
1120990001	1932504040	PO90PHP8	12	1508892084	PO90PHP8	12
1120990001	1508892084	PO90PHP8	12	1932504040	PO90PHP8	12
1121350001	1609946458	POUXHBK9	2349	1932279783	PORAX673	2349
1121350001	1609946458	POUXHBK9	2349	1306849534	POCU88T1	2349
1121350001	1609946458	POUXHBK9	2349	1053481770	PO3A0A99	2349
1121350001	1932279783	PORAX673	2349	1306849534	POCU88T1	2349
1121350001	1932279783	PORAX673	2349	1053481770	PO3A0A99	2349
1121350001	1932279783	PORAX673	2349	1609946458	POUXHBK9	2349
1121350001	1053481770	PO3A0A99	2349	1932279783	PORAX673	2349
1121350001	1053481770	PO3A0A99	2349	1306849534	POCU88T1	2349
1121350001	1053481770	PO3A0A99	2349	1609946458	POUXHBK9	2349
1121350001	1306849534	POCU88T1	2349	1932279783	PORAX673	2349
1121350001	1306849534	POCU88T1	2349	1053481770	PO3A0A99	2349
1121350001	1306849534	POCU88T1	2349	1609946458	POUXHBK9	2349
1124210003	1962479550	POEWU5C4	77041	1699797431	POJKP1W7	77041
1124210003	1699797431	POJKP1W7	77041	1962479550	POEWU5C4	77041
1125280001	1629116645	POED9W19	21250	1366580391	POC40NW8	21250
1125280001	1366580391	POC40NW8	21250	1629116645	POED9W19	21250
1129690001	1356570733	POR0KRB5	4	1700889227	PO8KC628	4
1129690001	1356570733	POR0KRB5	4	1790916401	POT5A5F7	4
1129690001	1700889227	PO8KC628	4	1790916401	POT5A5F7	4
1129690001	1700889227	PO8KC628	4	1356570733	POR0KRB5	4
1129690001	1790916401	POT5A5F7	4	1700889227	PO8KC628	4
1129690001	1790916401	POT5A5F7	4	1356570733	POR0KRB5	4
1129820001	1538231931	PO0C1BA0	266	1295771657	PO0C1BA0	266
1129820001	1295771657	PO0C1BA0	266	1538231931	PO0C1BA0	266
1132590001	1497928626	POXGPC65	1702	1144228412	POAP14K6	1702
1132590001	1144228412	POAP14K6	1702	1497928626	POXGPC65	1702
1133670001	1518032622	PO14RF21	245534	1588738355	PO14RF21	245534
1133670001	1588738355	PO14RF21	245534	1518032622	PO14RF21	245534
1134930001	1104883107	POR8AVW3	7158	1780715250	POR8AVW3	7158
1134930001	1780715250	POR8AVW3	7158	1104883107	POR8AVW3	7158
1134960001	1801997234	POHCEWE7	62	1356352041	POB68P25	62
1134960001	1356352041	POB68P25	62	1801997234	POHCEWE7	62
1135290001	1629065560	POUB8NR0	1391	1083764401	POUB8NR0	1391
1135290001	1083764401	POUB8NR0	1391	1629065560	POUB8NR0	1391
1135610001	1750737649	PO414C98	1	1013029008	PO414C98	1
1135610001	1013029008	PO414C98	1	1750737649	PO414C98	1
1135910001	1881799666	PO29C531	51854	NA	NA	NA
1135970001	1205280807	POR12962	16	1821192881	POR12962	16
1135970001	1821192881	POR12962	16	1205280807	POR12962	16
1136130001	1396740759	PO0J4613	790	1225162548	POA5UGU0	790
1136130001	1225162548	POA5UGU0	790	1396740759	PO0J4613	790
1138070001	1235323643	POBRQUU4	274	1336256858	POBRQUU4	274
1138070001	1235323643	POBRQUU4	274	1609076702	POBRQUU4	274
1138070001	1609076702	POBRQUU4	274	1336256858	POBRQUU4	274
1138070001	1609076702	POBRQUU4	274	1235323643	POBRQUU4	274
1138070001	1336256858	POBRQUU4	274	1235323643	POBRQUU4	274
1138070001	1336256858	POBRQUU4	274	1609076702	POBRQUU4	274
1139120007	1508050881	PO2TAK75	45243	1306851928	PO9855N0	45243
1139120007	1306851928	PO9855N0	45243	1508050881	PO2TAK75	45243
1139120011	1639406747	PO6M1JR0	62578	NA	NA	NA
