Var1	Freq
04000005055	0
04000005126	0
04000005319	0
04000005364	0
040000055369BRO	0
040000056061	0
04000005613	0
04000005617	0
040000056183	0
04000005624	0
04000005635	0
04000005679	0
040000056A9	0
04000005703	0
04000005710	0
04000005714	0
04000005775	0
04000005863	0
04000005895	0
04000006030	0
04000006110	0
04000006128	6
04000006134	0
04000006144	0
04000006171	0
04000006183	0
04000006212	0
04000006289	0
04000006293	0
04000006296	0
04000006317	0
04000006369	0
04000006378	0
04000006384	0
04000006393	0
04000006401	0
04000006422	0
04000006424	0
040000064361	0
04000006438	0
04000006478	0
04000006488	0
040000065102	0
04000006631	0
04000006653	0
04000006702	0
04000006721	0
04000006744	0
04000006755	0
04000006815	0
04000006829	0
04000006921	0
04000006932	0
04000006935	0
04000006948	0
04000006956	0
04000006971	0
04000006990	0
04000007000	0
04000007020	0
04000007049	0
04000007087	0
04000007135	0
04000007165	0
04000007169	0
04000007192	0
04000007212	0
04000007247	0
04000007255	0
04000007340	0
0400000744	0
04000007448	0
04000007462	0
04000007560	0
04000007580	0
04000007590	0
04000007660	2
04000007695	0
04000007705	0
04000007755	0
04000007770	0
040000077968	0
04000007805	0
04000007816	0
04000007845	0
04000007902	0
04000007931	0
04000007988	0
04000008007	0
04000008008	0
04000008009	0
04000008011	0
04000008015	0
04000008018	0
04000008020	0
04000008023	0
04000008025	0
04000008035	0
04000008041	0
04000008042	0
04000008058	0
04000008063	0
04000008069	0
04000008080	0
04000008101	0
040000081025	0
040000081046	0
040000081732	0
04000008188	0
040000082322	0
04000008269	2
04000008270	0
04000008316	0
04000008329	0
04000008348	0
040000083679	0
04000008375	0
04000008376	0
04000008382	0
04000008396	0
04000008423	6
04000008431	0
04000008468	0
04000008478	0
04000008699	0
04000008817	0
04000008843	0
04000008911	2
04000008959	0
04000008961	0
04000008992	0
04000009009	0
04000009010	0
04000009012	0
04000009016	0
04000009021	0
04000009035	0
04000009040	0
04000009041	0
04000009048	0
04000009065	0
04000009070	0
04000009075	0
04000009087	0
0400000-9088	0
04000009089	0
04000009092	0
04000009093	0
04000009100	0
04000009101	0
04000009110	0
04000009130	0
04000009147	0
04000009203	2
04000009205	0
04000009307	0
04000009320	0
04000009609	0
04000009646	0
04000009823	0
04000009901	0
04000009908	2
0400000991	0
04000009910	0
04000009913	0
04000009919	0
04000009927	0
04000009940	0
04000009941	0
04000009982	0
0400000TLUCK	0
04000010006	0
04000010025	0
04000010056	0
04000010084	0
04000010086	0
04000010288	0
04000010334	0
040000104155	0
04000010418	2
04000010442	0
04000010557	0
04000010568	0
04000010569	0
04000010584	0
04000010626	0
04000010630	0
04000010682	0
04000010716	0
04000010916	0
04000011017	0
04000011129	0
04000011134	0
04000011215	0
04000011300	0
04000011310	0
04000011314	0
04000011334	0
04000011335	0
04000011373	0
04000011383	0
04000011397	0
04000011413	0
04000011446	0
04000011455	0
04000011461	0
04000011474	0
04000011499	0
04000011531	0
04000011541	0
04000011601	0
04000011727	0
04000011738	0
04000011857	0
04000011896	0
04000011930	0
04000012008	0
04000012067	0
04000012084	0
04000012085	0
04000012090	0
04000012091	0
04000012095	0
04000012098	0
04000012112	0
04000012113	0
04000012169	0
04000012215	0
04000012225	0
04000012234	0
04000012236	0
04000012266	0
04000012283	0
04000012288	0
04000012296	0
04000012309	0
04000012324	0
04000012332	0
04000012347	0
04000012378	0
04000012401	0
04000012419	0
04000012427	0
04000012466	0
04000012468	2
04000012492	0
04000012493	0
04000012608	0
04000012609	0
04000012617	0
04000012629	0
04000012646	0
04000012681	0
04000012689	0
04000012699	0
04000012738	1
04000012739	1
04000012742	0
04000012904	0
040000129396	0
04000012958	0
04000012961	0
04000012981	0
04000012991	0
04000013026	0
04000013034	0
04000013041	0
04000013069	0
04000013092	0
04000013106	0
04000013109	0
04000013132	0
04000013151	0
04000013160	0
04000013185	0
04000013230	6
04000013235	0
04000013240	2
04000013244	0
04000013245	0
04000013257	0
04000013269	0
04000013292	0
04000013298	0
04000013309	0
04000013310	0
04000013325	0
04000013332	0
04000013335	0
04000013336	0
04000013367	0
04000013368	0
04000013381	0
04000013410	0
04000013424	0
04000013435	0
04000013440	0
04000013441	0
04000013443	0
04000013481	0
04000013485	0
04000013501	0
04000013505	0
04000013506	0
04000013527	0
04000013542	0
04000013548	0
04000013556	0
04000013557	0
04000013559	0
04000013561	0
04000013562	0
040000135624	0
04000013565	0
04000013574	0
04000013585	0
04000013597	0
04000013601	0
04000013650	0
04000013651	0
04000013652	0
04000013653	0
04000013654	0
04000013675	0
04000013697	0
04000013726	2
04000013727	0
04000013751	0
04000013757	0
04000013771	12
04000013772	2
04000013774	0
